classification|enunciation|transEng|exCeb|exEng
Ako|Pronoun|Ah-Ko|I/me|Ako ang nagluto sa panihapon.|I am the one who cooked dinner.
Ikaw|Pronoun|Ee-kaw|You|Ikaw ba ang magdala sa libro?|Are you bringing the book?
Siya|Pronoun|See-yah|He/She|Siya ang akong higala.|She is my friend.
Kita|Pronoun|Kee-tah|We (inclusive)|Kita magdula unya.|We will play later.
Kami|Pronoun|Kah-mee|We (Exclusive)|Kami ang miadto sa tindahan.|We went to the store.
Kamo|Pronoun|Kah-moh|You (Plural)|Kamo ba ang muadto ugma?|Are you all going tomorrow?
Sila|Pronoun|See-lah|They|Sila ang mga bisita karon.|They are the guests today.
Ang|Article|Ahng|The|Ang balay nindot kaayo.|The house is very nice.
Sa|Preposition|Sah|In/At/To|Sa merkado mi nagkita.|We met at the market.
Ug|Conjunction|Oog|And|Si Ana ug si Ben nagtrabaho.|Ana and Ben are working.
Oo|Affirmative|Oh-oh|Yes|Oo, muadto ko ugma.|Yes, I will go tomorrow.
Dili|Negative|Dee-lee|No/not|Dili nako gusto ang pagkaon.|I don't like the food.
Unsa|Interrogative|Oon-sah|What|Unsa imong pangalan?|What is your name?
Asa|Interrogative|Ah-sah|Where|Asa ka nagtrabaho?|Where do you work?
Ngano|Interrogative|Ngah-no|Why|Ngano wala ka niadto?|Why didn't you go?
Kanus-a|Interrogative|Kah-noos-ah|When|Kanus-a ka moabot?|When will you arrive?
Pila|Interrogative|Pee-lah|How much/many|Pila ang presyo ani?|How much is this?
Gusto|Verb|Goo-stoh|Want|Gusto nako kaon og lechon.|I want to eat lechon.
Ganahan|Verb|Gah-nah-hahn|Like|Ganahan kaayo ko ug chocolates.|I really like chocolates.
Kailangan|Verb|Kai-lahng-ahn|Need|Kailangan nako moadto ron.|I need to go now.
Palihug|Expression|Pah-lee-hog|Please|Palihug kuha ug tubig.|Please get some water.
Salamat|Expression|Sah-lah-maht|Thank you|Salamat sa imong tabang.|Thank you for your help.
Pasayloa|Expression|Pah-sai-loh-ah|Sorry|Pasayloa ko sa akong sayop.|I apologize for my mistake.
Nindot|Adjective|Neen-doht|Nice/Good|Nindot kaayo ang tanom sa imong balay.|The plants in your house are very nice.
Pait|Adjective|Pah-eet|Bitter/Bad|Pait kaayo ang lasa sa tambal.|The medicine tastes very bitter.
Daghan|Adjective|Dahg-hahn|Many|Daghan ang mga bisita.|There are many guests.
Dako|Adjective|Dah-koh|Big|Dako ang balay ni Lola.|Grandma's house is big.
Gamay|Adjective|Gah-mai|Small|Gamay ra ang akong kwarta.|I have only a little money.
Bata|Noun/Adjective|Bah-tah|Child/Young|Bata pa siya ug maayo na.|She is young but very talented.
Tigulang|Adjective|Tee-goo-lahng|Old|Tigulang na siya pero kusgan gihapon.|He is old but still strong.
Bag-o|Adjective|Bah-go|New|Bag-o ang akong sapatos.|My shoes are new.
Karaan|Adjective|Kah-rah-ahn|Old (objects)|Karaan na ang among balay.|Our house is old.
Gwapa|Adjective|Gwah-pah|Beautiful|Gwapa kaayo si Maria.|Maria is very beautiful.
Bautan|Adjective|Bow-tahn|Kind|Bautan kaayo siya sa tanan.|He is very kind to everyone.
Duol|Adjective|Doo-ohl|Near|Duol ra ang eskwelahan sa balay.|The school is near the house.
Layo|Adjective|Lah-yoh|Far|Layo ang mall sa amoang lugar.|The mall is far from our place.
Sayo|Adjective|Sah-yoh|Hello/How are you|Sayo ko niabot karon buntag.|I arrived early this morning.
Ulahi|Adjective|Oo-lah-hee|Indeed|Ulahi kaayo siya sa meeting.|She was very late to the meeting.
Kumusta|Adjective|Koo-moos-tah|Maybe|Kumusta imong adlaw?|How was your day?
Tinuod|Adjective|Tee-noo-od|True|Tinuod ang iyang gisulti.|What he said is true.
Sayop|Adjective|Sah-yohp|Wrong|Sayop kaayo ang akong gibuhat.|What I did was very wrong.
Sakto|Adjective|Sahk-toh|Right|Sakto ka nga dili magdali-dali.|You're right not to rush.
Paglaum|Noun|Pahg-lah-oom|Hope|Ang paglaum kay importante sa kinabuhi.|Hope is important in life.
Lingaw	|Verb|Lee-ngahw|Enjoy/Fun|Lingaw kaayo mi sa beach.|We had so much fun at the beach.
Palihug|Expression|Pah-lee-hoog|Please|Palihug ko ug abli sa pultahan.|Please open the door for me.
Bati|Adjective|Bah-tee|Ugly|Bati kaayo ang daan nga building.|The old building is very ugly.
Pagkaon|Noun|Pahg-kah-on|Food|Lami ang pagkagion diri sa Cebu.|The food here in Cebu is delicious.
Inom|Verb|Ee-nom|Drink|Mag-inom ko ug tubig kay giuhaw ko.|I'll drink water because I'm thirsty.
Bulak|Noun|Boo-lahk|Flower|Nindot ang bulak sa among garden.|The flowers in our garden are beautiful.
Bahay|Noun|Bah-hai|House|Dako ug humot ang among balay.|Our house is big and fragrant.
Kalibutan|Noun|Kah-lee-boo-tahn|World|Daghan kaayo ug misteryo sa kalibutan.|The world is full of mysteries.
